1	Divisions of the field
Civil flag of the former Republic of Florence (1250 to 1532)
 
Flag of the former Kingdom of Jerusalem
Flag of the former Kingdom of Jerusalem
 
Flag of the Federal District, Brazil
Flag of the Federal District, Brazil
 
Flag of Minas Gerais, Brazil
Flag of Minas Gerais, Brazil
 
Flag of the Government of the State of Minas Gerais, Minas Gerais, Brazil
Flag of the Government of the State of Minas Gerais, Minas Gerais, Brazil
 
Flag of Corsica, France
Flag of Corsica, France
 
Flag of Haut-Ogooué Province, Gabon
Flag of Haut-Ogooué Province, Gabon
 
Banner of the Government of Sikkim, India
Banner of the Government of Sikkim, India
 
Flag of Okinawa Prefecture, Japan
Flag of Okinawa Prefecture, Japan
 
Flag of Nizhny Novgorod Oblast, Russian Federation
Flag of Nizhny Novgorod Oblast, Russian Federation
 
Flag of Tomsk Oblast, Russia
Flag of Tomsk Oblast, Russia
 
Flag of the State of Illinois, USA
Flag of the State of Illinois, USA
 
Flag of the State of Massachusetts, USA
Flag of the State of Massachusetts, USA
 
Flag of Kanagawa Prefecture, Japan
Flag of Kanagawa Prefecture, Japan
 
Flag of the State of Rhode Island and Providence Plantations, USA
Flag of the State of Rhode Island and Providence Plantations, USA
 
Flag of the Governor of Michigan, USA (dexter)
Flag of the Governor of Michigan, USA (dexter)
 
Flag of the Governor of Pennsylvania, USA
Flag of the Governor of Pennsylvania, USA
 
Flag of the Territory of the United States Virgin Islands, USA
Flag of the Territory of the United States Virgin Islands, USA
 
Flag of City of Buenos Aires, Argentina
Flag of City of Buenos Aires, Argentina
 
Flag of Aarschot, Flemish Brabant, Belgium
Flag of Aarschot, Flemish Brabant, Belgium
 
Flag of Roeselare, West Flanders, Belgium
Flag of Roeselare, West Flanders, Belgium
 
Flag of Apiaí, São Paulo, Brazil
Flag of Apiaí, São Paulo, Brazil
 
Flag of Belo Horizonte, Minas Gerais, Brazil
Flag of Belo Horizonte, Minas Gerais, Brazil
 
Flag of Chapadão do Céu, Goiás, Brazil
Flag of Chapadão do Céu, Goiás, Brazil
 
Flag of Contagem, Minas Gerais, Brazil
Flag of Contagem, Minas Gerais, Brazil
 
Flag of Coronel Fabriciano, Minas Gerais, Brazil
Flag of Coronel Fabriciano, Minas Gerais, Brazil
 
Flag of Cotia, São Paulo, Brazil
Flag of Cotia, São Paulo, Brazil
 
Flag of Cubatão, São Paulo, Brazil
Flag of Cubatão, São Paulo, Brazil
 
Flag of the Inconfidência Mineira, Brazil
Flag of the Inconfidência Mineira, Brazil
 
Flag of Monte Mor, São Paulo, Brazil
Flag of Monte Mor, São Paulo, Brazil
 
Flag of Poá, São Paulo, Brazil
Flag of Poá, São Paulo, Brazil
 
Flag of Samambaia, Federal District, Brazil
Flag of Samambaia, Federal District, Brazil
 
Flag of Santos, São Paulo, Brazil
Flag of Santos, São Paulo, Brazil
 
Flag of São Bernardo do Campo, São Paulo, Brazil
Flag of São Bernardo do Campo, São Paulo, Brazil
 
Flag of Sete Lagoas, Minas Gerais, Brazil
Flag of Sete Lagoas, Minas Gerais, Brazil
 
Flag of Tatuí, São Paulo, Brazil
Flag of Tatuí, São Paulo, Brazil
 
Flag of Sveti Ivan Zelina, Croatia
Flag of Sveti Ivan Zelina, Croatia
 
Flag of Libreville, Gabon
Flag of Libreville, Gabon
 
Flag of Verden an der Aller, Lower Saxony, Germany
Flag of Verden an der Aller, Lower Saxony, Germany
 
Flag of Herford District, North Rhine-Westphalia, Germany
Flag of Herford District, North Rhine-Westphalia, Germany
 
Flag of Handa, Aichi, Japan
Flag of Handa, Aichi, Japan
 
Flag of Kiyosu, Aichi, Japan
Flag of Kiyosu, Aichi, Japan
 
Flag of Yokoze, Saitama, Japan
Flag of Yokoze, Saitama, Japan
 
Flag of Tehran, Iran
Flag of Tehran, Iran
 
Flag of Beirut, Lebanon
Flag of Beirut, Lebanon
 
Flag of Qormi, Malta
Flag of Qormi, Malta
 
Flag of Oosterhout, Netherlands
Flag of Oosterhout, Netherlands
 
Flag of Bisbee, Arizona, USA
Flag of Bisbee, Arizona, USA
 
Flag of Norwalk, California, USA
Flag of Norwalk, California, USA
 
Flag of Whites City, New Mexico, USA
Flag of Whites City, New Mexico, USA
 
Anne Bonny Pirate Flag
Anne Bonny Pirate Flag
 
Flag of the Order of the Holy Sepulchre
Flag of the Order of the Holy Sepulchre
 
House Flag of the Swedish American Line
House Flag of the Swedish American Line
 
Flag of the Seljuq Brigade
Flag of the Seljuq Brigade
 
Flag of the Spanish Society of Vexillology
Flag of the Spanish Society of Vexillology
 
Texas 'Come and take it' flag
Texas 'Come and take it' flag
Plain black field
The Black Standard
The Black Standard
 
Flag of the Abbasid Caliphate
Flag of the Abbasid Caliphate
 
Flag of the Hotak dynasty and the Emirate of Afghanistan (1709–1738 and 1880–1901)
Flag of the Hotak dynasty and the Emirate of Afghanistan (1709–1738 and 1880–1901)
 
Flag of the Pahang (1853–1887)
Flag of the Pahang (1853–1887)
 
Pirate flag
Pirate flag
 
Black Flag of Anarchism
Black Flag of Anarchism
Plain black field, with mobile charge(s)
Presidential Standard of Afghanistan (2004-2021)
Presidential Standard of Afghanistan (2004-2021)
 
Silver fern flag (New Zealand, unofficial)
Silver fern flag (New Zealand, unofficial)
 
Flag of the United States Space Force (fringed)
Flag of the United States Space Force (fringed)
 
Flag of the former Emirate of Cyrenaica (1949–1951)
Flag of the former Emirate of Cyrenaica (1949–1951)
 
Flag of the former Makhnovshchina (1917-1921)
Flag of the former Makhnovshchina (1917-1921)
 
Flag of the former independent Soviet Republics of Naissaar (1917) and Kronstadt (1921)
Flag of the former independent Soviet Republics of Naissaar (1917) and Kronstadt (1921)
 
Flag of Newton, Kansas, USA
Flag of Newton, Kansas, USA
 
Flag of Brookfield, Wisconsin, USA
Flag of Brookfield, Wisconsin, USA
 
The 'A Man Was Lynched Yesterday' flag of the NAACP
The 'A Man Was Lynched Yesterday' flag of the NAACP
 
Flag of Anarchism
Flag of Anarchism
 
Flag of Dravidar Kazagam
Flag of Dravidar Kazagam
 
Black Bauhinia Flag of Hong Kong
Black Bauhinia Flag of Hong Kong
 
A 'skull and crossbones' pirate flag
