#FAMILIES
leafFamily	familyPath
Hilalian	Semitic;;West Semitic;;Central Semitic;;Arabic;;Maghrebi;;Hilalian
Hindustani	Indo-Iranian;;Indo-Aryan;;Central Zone;;Western Hindi;;Hindustani
Hokkien	Sinitic;;Chinese;;Min;;Coastal Min;;Southern Min;;Hokkien
Igboid	Atlantic–Congo;;Volta–Congo;;Volta–Niger;;Igboid
Indo-Aryan	Indo-Iranian;;Indo-Aryan
Indo-Iranian	Indo-Iranian
Insular	Japonic;;Insular
Insular Scandinavian	Germanic;;North Germanic;;West Scandinavian;;Insular Scandinavian
Intemelio	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western;;Gallo-Iberian;;Gallo-Romance;;Gallo-Italic;;Ligurian;;Intemelio
Inuit	Eskaleut;;Inuit
Inuit (Inuktut)	Eskimo;;Inuit (Inuktut)
Inuvialuktun	Eskimo;;Inuit;;Inuvialuktun
Iranian Persian	Indo-Iranian;;Iranian;;Western Iranian;;Southwestern;;Persian;;Iranian Persian
Jamaican Creole	English creole;;Atlantic;;Western;;Jamaican Creole
Japanese Sign	Japanese Sign
Japanese Sign Language?	Japanese Sign Language?
Jingpho–Luish	Tibeto-Burman;;Sal;;Jingpho–Luish
Jola	Atlantic–Congo;;Bak;;Jola
Jola–Papel	Atlantic–Congo;;Senegambian;;Bak–Bijago;;Bak proper;;Jola–Papel
Kalanga-Nyamba	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Shona languages;;Kalanga-Nyamba
Kannadoid	Southern;;Southern I;;Tamil-Kannada;;Kannadoid
Karluk	Turkic;;Common Turkic;;Karluk
Kasiguranin–Tagalog	Malayo-Polynesian;;Philippine;;Greater Central Philippine;;Central Philippine;;Kasiguranin–Tagalog
Kimbundu languages (H.20)	Atlantic–Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu (Zone H);;Kimbundu languages (H.20)
Kipchak–Bulgar	Turkic;;Common Turkic;;Kipchak;;Kipchak–Bulgar
Kipchak–Cuman	Turkic;;Common Turkic;;Kipchak;;Kipchak–Cuman
Kipchak–Nogai	Turkic;;Common Turkic;;Kipchak;;Kipchak–Nogai
Kongo languages (H.16)	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu (Zone H);;Kongo-Yaka;;Kongo languages (H.16)
Kongo-based creole	Kongo-based creole
Kuki-Chin–Naga?	Central Tibeto-Burman?;;Kuki-Chin–Naga?
Kunama	Kunama
Kypchak–Cuman	Turkic;;Common Turkic;;Kipchak;;Kypchak–Cuman
Kyrgyz–Kipchak	Turkic;;Common Turkic;;Kipchak;;Kyrgyz–Kipchak
Lahnda	Indo-Iranian;;Indo-Aryan;;Northwestern;;Lahnda
Lao–Phutai	Tai;;Southwestern;;Lao–Phutai
Latino-Faliscan	Italic;;Latino-Faliscan
Low Franconian	Germanic;;West Germanic;;Weser–Rhine Germanic;;Low Franconian
Low Saxon	Germanic;;West Germanic;;North Sea Germanic;;Low German;;Low Saxon
Luba languages	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Luban;;Luba languages
Lule–Pite	Sámi;;Western;;Central;;Lule–Pite
Luri–Dezfuli?	Indo-Iranian;;Iranian;;Western Iranian;;Southwestern Iranian;;Luri–Dezfuli?
Macro-Jê?	Macro-Jê?
Maithili	Indo-Iranian;;Indo-Aryan;;Central;;Eastern Hindi;;Maithili
Malay	Malayo-Polynesian;;Malayo-Chamic;;Malayic;;Malay
Malayalamoid	Southern;;Southern I;;Tamil–Kannada;;Tamil–Kota;;Tamil–Toda;;Tamil–Irula;;Tamil–Kodava–Urali;;Tamil–Malayalam;;Malayalamoid
Malayic	Malayo-Polynesian;;disputed:;;Malayic
Malayo-Polynesian	Malayo-Polynesian
Malayo-Sumbawan	Malayo-Polynesian;;Malayo-Sumbawan
Manjaku–Papel	Atlantic–Congo;;Senegambian;;Bak;;Manjaku–Papel
Marathi–Konkani	Indo-Iranian;;Indo-Aryan;;Southern;;Marathi–Konkani
Mazanderani-Shahmirzadi	Indo-Iranian;;Iranian;;Western Iranian;;Northwestern;;Caspian;;Mazanderani-Shahmirzadi
Melanesian Pidgin	English Creole;;Pacific;;Melanesian Pidgin
Micronesian	Malayo-Polynesian;;Oceanic;;Central–Eastern Oceanic;;Micronesian
